Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,same_state,age,python_yn,R_yn,spark,aws,excel
(Sr.) Data Scientist -,$17-$23 Per Hour(Glassdoor est.),"Thursday, June 11, 2020

Merrick Bank is a top-25 credit card issuer and merchant acquirer in the VISA/MasterCard networks, and a major recreational vehicle lender.
The Bank is a Utah Financial Institution and a member of the FDIC.

At Merrick Bank, we specialize in credit programs that assist people looking to build or rebuild their credit. We are FDIC insured and recognized as a top-20 issuer of Visa® cards. In total, we proudly serve over 2.4 million cardholders and have extended over $5.3 billion in credit.

Our Mission is to make a positive difference in the lives of our customers, our employees, and our community. We work hard to create a work environment that empowers our associates to grow, learn, and reach their potential.

This position is a member (or, a senior member, depending upon qualifications) of the Data Science and Modeling team, and will support and work with other members of the team to produce the models, reports, and analysis as required for the bank. Data science, machine learning and statistical programming are the core competencies of the position, but in addition, the applicant should work well with others, have a desire to learn, be self-motivated, and have excellent communication and presentation skills.

REQUIRED SKILLS, ABILITIES, KNOWLEDGE, AND EXPERIENCE:
Master's degree in a relevant quantitative field, or a bachelor’s degree with a significant amount of relevant work experience.
Firm knowledge of statistical theory, data science, or machine learning algorithms is a requirement.
Expertise with R or Python is required.
Experience with any of the following computer languages is also desirable: CUDA, FORTRAN or C/C++, SAS, SQL, Unix shell scripting, or LaTeX.
Experience with HPC (High Performance Computing), or Parallel Computing would be a plus. Experience with SLURM would be outstanding.
Experience in the banking industry, specifically in credit cards, is not necessary, but would be desirable.


PRIMARY DUTIES:
Statistical programming, model development and implementation.
Communicating results, both verbally and in writing.
Work both individually and in a collaborative manner with a team.
Designing, validating, and improving data driven decision making processes and strategies.
Building key metrics and modeling reports for communication with executives.
Compliant with Laws & Regulations.

What’s in it for you:

Competitive salary (DOE)

Benefits package -Medical, Dental and Vision (plus much more)

401(k) Plan with Company Match

Short & Long Term Disability

Group Life and AD&D Insurance

Paid Vacation, Holidays, and Personal Days

Employee Events, including Employee Appreciation Day, Holiday Party, etc.

Tuition Reimbursement Program
Candidates must have unrestricted authority to work in the
United States without sponsorship.

Merrick Bank is an equal opportunity employer. We evaluate qualified applicants
without regard to race, color, religion, sex, national origin, disability,
veteran status, and other legally protected characteristic. The EEO is the
Law poster is available here: http://www1.eeoc.gov/employers/poster.cfm

Please go to our website www.merrickbank.com to apply and learn more about our company

We are an equal opportunity employer. Merrick Bank will do a thorough background check for all hires. This includes a review of your personal credit history, drug testing, background check, and employment/personal references. A good credit history is important.

Other details
Job Family
Account Acquisition & Data Science
Pay Type
Salary",3.5,"Merrick Bank
3.5",Utah,-1,201 to 500 Employees,1997,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1,1,0,17,23,20.0,"Merrick Bank
",Utah,0,23,1,0,0,1,1
Data Scientist,$17-$23 Per Hour(Glassdoor est.),"About Us

Mindoula is a next-generation behavioral health management company that delivers tech-enabled, team-based 24/7/365 behavioral health support across the continuum of care. We are building the best population health management and analytics platform by using the latest technologies in big data and data science. Also, we are developing a comprehensive platform to address the needs of pre and post hospital care for large populations.

We are currently seeking to fill in multiple roles in technology and data to help build great technology helping Mindoula to grow faster.

About You

We are looking for a talented data scientist who has a great passion for solving business problems by providing data insights through data modeling and analysis. You will work with senior leadership and data/technology teams to understand and solve complex business problems by developing data models and various techniques to analyze the health populations.

Responsibilities:
Derive insights from data analysis and modeling using multiple datasets, derived from the company platform, data provided by our customers etc.
Develop a comprehensive profile of the patient/member using the data available.
Apply statistical techniques to understand health data and analyze outcomes.
Apply data science algorithms and techniques to understand the member profile and prepare the data such that these insights help the care management team in addressing needs of our customers and members.
Be part of the data team, collaborate with product and engineering teams in developing the data required to support the functionality and new features of our platforms.
Must be self-driven and a quick learner.
Requires strong problem-solving, analytical and communication skills.
Healthcare data experience (claims, groupers) is a plus.
Technologies:
Data science: Analysis/Machine learning/AI algorithms and modeling.
Data Platforms: Spark, Python/Scala.
Strong SQL experience.
Databases: Postgres, Microsoft SQL Server
Hosting: Microsoft Azure
Tools: Github, CircleCI, CodeClimate
Requirements:
Minimum 3 years of experience in position
Healthcare experience with managing claims data
Compensation:
Competitive salary.
Generous benefits
This position is open to both as an employee or as a contractor/consultant.",3.8,"Mindoula Health Inc
3.8",Maryland,-1,51 to 200 Employees,2013,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,1,0,17,23,20.0,"Mindoula Health Inc
",Maryland,0,7,1,0,1,0,0
Medical Laboratory Scientist,$17-$23 Per Hour(Glassdoor est.),"Job Summary:

Performs and interprets tests at all complexity levels. Demonstrates an understanding of the theory and scientific principles of laboratory testing as well as the technical, procedural and problem solving aspects. Correlates abnormal laboratory data with pathological states, determines the validity of test results and the need for additional tests. Determines the validity of test results through the monitoring and/or verifying of quality controls, standards, etc. Communicates test results, reference ranges, specimen requirements, and other pertinent information to authorized sources.

Job Responsibilities:

Follows the laboratory's procedures for specimen handling and processing, test analyses, reporting and maintaining records of patient test results.
Performs laboratory testing in a compliant manner.
Maintains regulatory knowledge and awareness as it pertains to specific job duties.
Adheres to the laboratory's quality control policies, document all quality control activities, instrument and procedural calibrations and maintenance performed.
Assumes responsibility for and takes action regarding any quality control or quality assurance issues as it pertains to specific job duties.
Maintains instruments and equipment in accordance with manufacturer’s specifications.
Assumes responsibility for good documentation practices and maintains clear and legible records.
Performs proficiency testing in compliance with Clinical Laboratory Improvement Amendments (CLIA) regulations i.e. analyze proficiency survey sample in the same manner as a patient specimens, no communication with other CLIA laboratories, complete record retention and accurate documentation and result reporting.
Assumes responsibility for participation in continuing education, professional development and required annual competency assessment.
Follows the laboratory's established policies and procedures whenever test systems are not within the laboratory's established acceptable levels of performance.
Identifies problems that may adversely affect test performance or reporting of test results and either must correct the problems or immediately notify the General Supervisor, Technical Supervisor, Clinical Consultant, or Laboratory Director.
Exercises good judgment, analytical and problem solving/troubleshooting skills.
Recommends solutions and improvements.
Documents all corrective actions taken when test systems deviate from the laboratory's established performance specifications.
May function in an educator and provides instruction and training in theory, technical skills, safety protocols, and the application of laboratory test protocols to students, employees, residents, etc.
Other duties as assigned.
Follows Hospital and department policies and procedures with special attention to attendance and punctuality, confidentiality, dress code and display of ID badge, and safety.
Completes mandatory education and training in order to maintain organization and department-specific competencies and requirements.

Education:

Bachelor's degree in a chemical, physical, biological or clinical laboratory science or medical technology from a four-year college or university.
One year training in approved program with registry/certification at Medical Technologist/ Clinical Laboratory Scientist level (MLS or MT) or registry eligible.
OR
Meets the CLIA qualifications for high complexity testing personnel grandfathering clauses.
See Code of Federal Regulations, Title 42, §493.1489(b)(3), §493.1489(b)(4), §493.1489(b)(5), §493.1491 Standards; High Complexity Testing Personnel Qualifications.
Diploma and/or transcripts must be provided.
Education will be verified.
Education outside of the United States requires diploma/transcripts translated into English and proof of foreign equivalency from by an HHS approved agency or nationally recognized organization such as NACES (National Association Credential Evaluation Services, Inc.) or AICE (Association of International Credential Evaluators, Inc.).

Languages:

Certifications:

Certification as a Medical Technologist (MT) or certification eligible preferred upon hire, from the American Society of Clinical Pathology (ASCP) or American Medical Technologists (AMT).
Certification must be obtained within one year of hire.

Complexity of Work:

Requires critical thinking skills, decisive judgment and the ability to work unsupervised or with minimal supervision.
Must be able to work in a stressful environment and take appropriate action.

Work Experience:

None required.

Physical Requirements:

Physical demands include: Visual acuity to study specimens under a microscope.
The ability to distinguish colors.
Fine motor skills and manual dexterity to handle specimens and lab equipment required to process specimens and repair equipment.
May be required to stand for long periods of time.
Light lifting may be required.
May be exposed to hazardous chemicals, biohazards, radioactive materials, etc.

Personal Protective Equipment:

Follows Standard Precautions using personal protective equipment as required.

The policy of Cleveland Clinic and its system hospitals (Cleveland Clinic) is to provide equal opportunity to all of our employees and applicants for employment in our tobacco free and drug free environment. All offers of employment are followed by testing for controlled substance and nicotine. Job offers will be rescinded for candidates for employment who test positive for nicotine. Candidates for employment who are impacted by Cleveland Clinic’s Smoking Policy will be permitted to reapply for open positions after 90 days. Decisions concerning employment, transfers and promotions are made upon the basis of the best qualified candidate without regard to color, race, religion, national origin, age, sex, sexual orientation, marital status, ancestry, status as a disabled or Vietnam era veteran or any other characteristic protected by law. Information provided on this application may be shared with any Cleveland Clinic facility.

Cleveland Clinic is pleased to be an equal employment employer: Women/Minorities/Veterans/Individuals with Disabilities",3.8,"Cleveland Clinic
3.8","Akron, OH",-1,10000+ Employees,1921,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,1,0,17,23,20.0,"Cleveland Clinic
",Akron,0,99,0,0,0,0,0
Bioinformatics Scientist,$17-$23 Per Hour(Glassdoor est.),"GENEWIZ is looking to welcome a Bioinformatics Scientist to join our Next-Generation Sequencing team. If you have a passion for genomics and go-getter attitude, we want to hear from you!

Title: Bioinformatics Scientist

Why GENEWIZ?
GENEWIZ is a place for people who want to make a difference. We are proactive, committed to what we do, aspire to do more and have the potential for greatness! We have a winning attitude and champion innovation, teamwork and accountability through a results-oriented, customer-centric, and fun work culture! We are committed to the growth and development of our employees and we are firm believers of promoting from within. We offer competitive benefits ranging from work-life balance programs to comprehensive medical, dental, vision insurance plans.

Responsibilities:
• Perform data analysis and generate reports for customer projects
• Develop novel algorithms and build customized pipelines for clinical service projects
• Build LIMS workflows for operation service lines
• Evaluate and identify optimal NGS data analysis solutions
• Conduct literature search for various genomics research areas
Qualifications:
• B.S. in Bioinformatics with minimum of 1-3 years of experience required
• M.S. in Bioinformatics withminimum of 0-2 years of experience preferred
• Strong mathematical and analytical skills
• Experience with NGS data analysis preferred
• Proficient in BI analysis pipelines and solutions

GENEWIZ is a leading global genomics service company and trusted provider for DNA sequencing, gene synthesis, molecular biology, next generation sequencing, bioinformatics, and GLP regulatory services.

From the company’s founding, GENEWIZ has maintained its unwavering commitment to providing customers with the best value. Excelling in both science and customer support, GENEWIZ is dedicated to accelerating scientific discovery, as well as to developing and delivering innovative solutions for translational medicine and healthcare. Easily accessible around the world, GENEWIZ is the preferred partner at leading academic, pharmaceutical, biotechnology, agricultural, government, and clinical institutions.",2.8,"GENEWIZ, Inc.
2.8","South Plainfield, NJ",-1,501 to 1000 Employees,1999,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),-1,1,0,17,23,20.0,"GENEWIZ, Inc.
",South Plainfield,0,21,0,0,0,0,1
Genomic Curator Quality Scientist,$17-$23 Per Hour(Glassdoor est.),"Job Title: * Genomic Curator Quality Scientist
Department: *Product
Reports to: *VP Product & Engineering
Position Type: *Full Time Non-Exempt
PRIORITY RESPONSIBILITY*
Expand and maintain Golden Helix’s lead as curators of the largest repository of clinical and research genomic data. Master the capabilities of Golden Helix genomic analysis software to ensure the quality of new and changing features in conjunction with the development efforts of the product team.
ESSENTIAL DUTIES*
Genomic Data Curator *
Understand and make editorial decisions on genomic data source to prepare them for use in clinical genetic testing and research contexts
Wrangle raw genomic data files into forms ready for usage in Golden Helix software
Write one-off scripts to manipulate and harmonize genomic data for product integration
Write code or run existing tools to simulated genomic datasets that exercise the software feature under test
Write blog posts on new capabilities, FAQs and data curation achievements
Product Quality *
Help develop and run a quality process that covers Golden Helix’s products and bundled data
Master the new and changing capabilities of Golden Helix’s software to ensure their quality
Discover edge cases, off-by-one issues, resource limitations, and rare conditions in which the product does not perform nominally.
Prepare technical documentation for genomic scientists and clinical geneticists to perform their duties using Golden Helix software
Work closely with the product team in the entire lifecycle of bugs and issues.
Investigate customer problems referred by Field Application Scientists.
Other duties as directed.
QUALIFICATIONS*
_Must have ability to work for any US employer without restrictions_
PhD or equivalent experience in Molecular Biology, Cancer Biology, Oncological Science, Molecular Genetics or related field. A M.S. in Bioinformatics with hands on research experience and NGS domain expertise also encouraged to apply.
Exquisite attention to detail, with a knack for identifying discrepancies or mistakes
Experience in Python and command line bash shell scripting or equivalent
Track record of written and oral communication experience, such as publications, grant applications and conference presentations
Well organized, task-oriented and willingness to take ownership of the quality of a complex product, including performing manual and hands-on tests.
MEASUREMENTS*
The Genomic Curator Quality Scientist will be measured on:
Correct transformation and representation of curated data sources
Quality of products in versioned releases
Timely completion of tasks in regards to the software release schedule.
Contact Information*
If you are interested in this challenging and rewarding position with a fun and exciting company, please send us your resume and cover letter. We look forward to hearing from you!

Job Type: Full-time

Pay: $65,000.00 - $80,000.00 per year

Benefits:
401(k)
401(k) matching
Dental insurance
Flexible spending account
Health insurance
Paid time off
Vision insurance
Schedule:
Monday to Friday
Experience:
data curation: 3 years (Required)
Education:
Master's (Required)
Location:
Bozeman, MT 59715 (Required)
Work authorization:
United States (Required)
Application Question:
What script language knowledge do you have?
Work Location:
One location
Company's website:
www.goldenhelix.com
Work Remotely:
No",-1.0,Golden Helix Inc,"Bozeman, MT",-1,-1,-1,-1,-1,-1,-1,-1,1,0,17,23,20.0,Golden Helix Inc,Bozeman,0,-1,1,0,0,0,0
Genomic Curator Quality Scientist,$17-$23 Per Hour(Glassdoor est.),"Job Title: * Genomic Curator Quality Scientist
Department: *Product
Reports to: *VP Product & Engineering
Position Type: *Full Time Non-Exempt
PRIORITY RESPONSIBILITY*
Expand and maintain Golden Helix’s lead as curators of the largest repository of clinical and research genomic data. Master the capabilities of Golden Helix genomic analysis software to ensure the quality of new and changing features in conjunction with the development efforts of the product team.
ESSENTIAL DUTIES*
Genomic Data Curator *
Understand and make editorial decisions on genomic data source to prepare them for use in clinical genetic testing and research contexts
Wrangle raw genomic data files into forms ready for usage in Golden Helix software
Write one-off scripts to manipulate and harmonize genomic data for product integration
Write code or run existing tools to simulated genomic datasets that exercise the software feature under test
Write blog posts on new capabilities, FAQs and data curation achievements
Product Quality *
Help develop and run a quality process that covers Golden Helix’s products and bundled data
Master the new and changing capabilities of Golden Helix’s software to ensure their quality
Discover edge cases, off-by-one issues, resource limitations, and rare conditions in which the product does not perform nominally.
Prepare technical documentation for genomic scientists and clinical geneticists to perform their duties using Golden Helix software
Work closely with the product team in the entire lifecycle of bugs and issues.
Investigate customer problems referred by Field Application Scientists.
Other duties as directed.
QUALIFICATIONS*
_Must have ability to work for any US employer without restrictions_
PhD or equivalent experience in Molecular Biology, Cancer Biology, Oncological Science, Molecular Genetics or related field. A M.S. in Bioinformatics with hands on research experience and NGS domain expertise also encouraged to apply.
Exquisite attention to detail, with a knack for identifying discrepancies or mistakes
Experience in Python and command line bash shell scripting or equivalent
Track record of written and oral communication experience, such as publications, grant applications and conference presentations
Well organized, task-oriented and willingness to take ownership of the quality of a complex product, including performing manual and hands-on tests.
MEASUREMENTS*
The Genomic Curator Quality Scientist will be measured on:
Correct transformation and representation of curated data sources
Quality of products in versioned releases
Timely completion of tasks in regards to the software release schedule.
Contact Information*
If you are interested in this challenging and rewarding position with a fun and exciting company, please send us your resume and cover letter. We look forward to hearing from you!

Job Type: Full-time

Pay: $65,000.00 - $80,000.00 per year

Benefits:
401(k)
401(k) matching
Dental insurance
Flexible spending account
Health insurance
Paid time off
Vision insurance
Schedule:
Monday to Friday
Experience:
data curation: 3 years (Required)
Education:
Master's (Required)
Location:
Bozeman, MT 59715 (Required)
Work authorization:
United States (Required)
Application Question:
What script language knowledge do you have?
Work Location:
One location
Company's website:
www.goldenhelix.com
Work Remotely:
No",-1.0,Golden Helix Inc,"Bozeman, MT",-1,-1,-1,-1,-1,-1,-1,-1,1,0,17,23,20.0,Golden Helix Inc,Bozeman,0,-1,1,0,0,0,0
"Associate Scientist, Clinical Development",$17-$23 Per Hour(Glassdoor est.),"GENEWIZ is a leading global genomics service company and trusted provider for DNA sequencing, gene synthesis, molecular biology, next generation sequencing, bioinformatics, and GLP regulatory services. Our customers depend on GENEWIZ to achieve results in a rapid, cost-effective manner through specialized expertise and customizable, scalable services.

We are seeking an Associate Scientist I to join our Clinical Development Services department. This position will primarily be responsible for nucleic acid extraction, qPCR setup, and next-generation sequencing library preparation and is a great entry-level role with room for growth and advancement. If you have the desire to work in a casual yet results-driven environment that embraces innovation- then you’re just what we’re looking for!

Title: Associate Scientist I

Responsibilities:

Independently carry out nucleic acid extractions from a variety of sample types
Perform quantitative PCR (qPCR) set-up and data analysis
Prepare libraries for high-throughput sequencing
Carry out DNA sequencing on next-generation DNA analyzers
Perform routine maintenance of DNA analyzers and related equipment
Check inventory and replenish consumable sequencing supplies
Communicate with customers by phone and e-mail in a friendly and professional manner
Follow SOPs and guidance of supervisors
Be an effective team-player committed to company goals

Qualifications:

Bachelor’s Degree in Biological Sciences required
1+ years biological lab experience is required
Experience working in a regulatory environment (e.g. CLIA/CAP, GLP, GMP, GCLP, and/or GCP) is highly desirable
Knowledge of standard laboratory processes
Follow and help to develop Standard Operating Protocol (SOP)
Strong communications/interpersonal skills, both verbal and written, and attention to detail are essential.

GENEWIZ is a leading global genomics service company and trusted provider for DNA sequencing, gene synthesis, molecular biology, next generation sequencing, bioinformatics, and GLP regulatory services. Our customers depend on GENEWIZ to achieve results in a rapid, cost-effective manner through specialized expertise and customizable, scalable services that contribute to the advancement of life sciences and technologies.

GENEWIZ employees have a winning attitude and champion innovation, teamwork and accountability through a results-oriented, customer-centric, and fun culture. We offer various health and financial benefits, learning opportunities, competitive compensation, rewarding bonus programs, and a wide range of work/life benefits designed to make your life easier.

EOE M/F/Disabled/VET",2.8,"GENEWIZ, Inc.
2.8","South Plainfield, NJ",-1,501 to 1000 Employees,1999,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),-1,1,0,17,23,20.0,"GENEWIZ, Inc.
",South Plainfield,0,21,0,0,0,0,0
Data Scientist,$17-$23 Per Hour(Glassdoor est.),"STRATACACHE provides salable customer experiences, empowering retailers to learn deeply about their customers’ shopping preferences and behaviors, allowing for personalized shopper interaction. Our solutions deliver consumer activation at the point-of-decision, generating new sales opportunities and enhanced retail profitability. With 3 million+ software activations globally, we power the biggest digital networks for the world’s largest brands. Across the STRATACACHE family of complementary digital media/ad tech solution companies, we have the technology, expertise and track record to bring retail innovation that delivers results.

Learn more about the STRATACACHE family at www.stratacache.com.

Data Scientist

Do you love data? Do you enjoy creating statistical models and finding insights that make a difference? Are you interested in the future of retail, commerce, and customer analytics? If so, this is the role for you. In this role you will have the opportunity to work with software engineering, sales, and product organizations to develop innovative, impactful data applications. Your efforts will enhance the overall product quality utilizing many aspects of data science, including various types of modeling that drive toward strategic analytics. You will be focused on the future of the restaurant and retail experience by discovering insights while creating strategic, marketing, retail, customer experience and digital analytics. Your background in statistics, data science, big data, normalization, modeling, quantitative research, and/or analytics consulting will be very beneficial as you take on this exciting position in the company and join our Data Science team. In this role you will also have the opportunity to continue to build and improve the marketing of technology products that are influenced by data, understand human behavior and determine how to influence and impact the retail marketplace with exciting new solutions and insights.

Responsibilities include:

Design, build, and deliver statistical models and related actionable data-focused results to support product and customer requirements and initiatives.
Work closely with engineering, product and sales teams to understand business and technical requirements, translate these into important discovery directives, and follow through to optimize and support the enhancement and growth of Stratacache products.
Establish and make effective use of internal and external datasets to back up and support key strategic, product, and customer decision-making efforts.
Serve as the data science expert on cross-functional teams for large strategic initiatives and education on accessing and utilizing qualified and focused data for decision making.
Analyze, propose, design and successfully deliver data experiments for engineering, product and sales teams to ensure statistical rigor and effectiveness.
Provide expertise and professionalism in handling sensitive, privacy-protected data, including sources, structures, organization, and optimization.
Communicate complex ideas about our product through visual aids like charts and dashboards.
Keep up-to-date with emerging data science and statistical technologies, methods and practices.
Create and/or use existing data models for predictions regarding user behavior.
Communicate ideas, processes, and results to all levels of internal and external clients and teams.
Basic & Preferred Qualifications
Bachelor's degree required in Computer Science, Mathematics, Statistics, Quantitative Analysis, or other technical field related to software development.
Minimum 3 years of related experience working with data science and statistical modeling.
Experience in the QSR, retail or ecommerce industries from a data perspective is required.
Experience with recommendation engines and discovering new and advanced modeling methods i.e. deep neural networks, gradient boosted decision trees, etc.. is required.
Experience with SQL and at least one functional or statistical programming language is required.
Minimum of 3 years of related experience working with R and Python is required.
Minimum of 3 years of related experience working with REST APIs is required.
Experience working with Postgres, Timescale DB and/or other related database technologies is required.
Ability to distill complex statistical concepts and methodology, and articulate insights to cross-functional teams and clients with varying levels of knowledge in this space is required.
Ability to work with distributed and remote teams is required.
Experience with complex query writing is required.
Experience with result-set performance tuning and related data administration is required.
Experience with big data technologies is required.
Experience and understanding of various statistical modeling tools and platforms is required.
Experience in ecommerce, wifi, app messaging, social and other datasets is beneficial.
Experience in machine learning and artificial intelligence methods and practice is beneficial.
Understanding and experience with database technologies is beneficial including Oracle, SQLServer, etc..
Understanding and experience with BI technologies is beneficial: Tableau, Microstrategy, Microsoft, OBI, etc..
Experience with kafka, Go, or Redis is beneficial.
Understanding of data modeling techniques and star schemas is beneficial.
Experience with Hadoop and MapReduce is beneficial.
Experience with ftp, file transfers, data exchange methodologies.
A solid understanding of methodology, data and systems from a broad range of research and analytics providers, including emerging tools and methods is required.
Ability to articulate and tie data to business strategy.
Microsoft Excel and PowerPoint skills
Self-motivated, self-starter with a team-centric focus while working in a fluid environment.
Exceptional communication skills: verbal, written, and presentation.
Experience in the following areas: strategic analytics, marketing analytics, digital analytics, data analytics, statistics, data science, big data, normalization, modeling, quant research, analytics consulting.
Desire and interest to uncover and discover insights using disparate data sources.
Desire and interest in being the “Go To” person for data science.
Dynamic personality and passion for data, analytics, visualizations and storytelling is beneficial for this role.
Keen sense of user interface design, style, aesthetics and effective visual presentation.
Experience with agile development methodologies.
Ability to work effectively in fast-paced, results-oriented work environment.
Ability to handle and adjust to change in requirements and direction.
Positive attitude, attention to detail, and great problem solving skills are important.

STRATACACHE and its family of companies provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, age, disability, genetic information, pregnancy, childbirth or related medical condition, veteran, marital, parental, citizenship, or domestic partner status, or any other status protected by applicable national, federal, state or local law.

While we are excited and appreciate you interest in our opportunities, please keep in mind that we are not able to contact all applicants that have applied.

No vendor/agency solicitation please.",3.6,"STRATACACHE
3.6","Dayton, OH",-1,201 to 500 Employees,1999,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),-1,1,0,17,23,20.0,"STRATACACHE
",Dayton,0,21,1,0,0,0,1
"Data Scientist, Medical Diagnostics",$17-$23 Per Hour(Glassdoor est.),"_*The Company*_
The world is facing a medical crisis, bacteria are increasingly evolving resistance to even our strongest antibiotics. The problem is already very real and immediate; for example, bloodstream infection leading to sepsis is now responsible for more than half of all deaths in hospitals and is the most expensive condition treated in hospitals. Sepsis mortality rate increases >6% every hour without effective antibiotic treatment. Yet, despite the life and death urgency, and healthcare cost impacts, current methodologies require 3 days to determine the correct antibiotic.

Specific Diagnostics has developed a breakthrough solution to rapidly determine the effective antibiotic treatment for bloodstream and other acute infections. Used for bloodstream infection Specific’s solution provides results 2 days sooner than existing methods, saving patients suffering from drug-resistant infection.

We have been funded by nearly $30 M in non-dilutive government sponsored research support and recently $17.5 M in venture capital. This is an opportunity to join us at an inflection point in our commercial growth as we bring our first key product to market and with recognition from major customers fueling an expansion of our staff.
_The Job*_
_*_*This is the job for you if want to be where your ideas to be central to a world-changing and lifesaving product. Data science and analytics are at the core of our company we are seeking an exceptional talent to join our team. You will be a key contributor and critical to the success of the company. The main analysis tasks you are expected to contribute to are:
Analytical methods and statistical analysis for processing high-volume, temporal high-dimensional data streams generated in real-time from our proprietary sensor technology.
The development of data-driven visualization tools for the explorative analysis of high-dimensional data.
The application and development of suitable pre-processing, feature-selection and dimensional reduction techniques to detect, measure and account for data artifacts.
The development and validation of applications for a medical instrument built under the guidance of a senior manager experienced in the application development discipline (so you’ll be learning the valuable skill of integrating your work into applications for medical diagnostic devices).
Algorithm development for decisions and measurements from multi-dimensional data streams.
This is not the job for a numbers only person. We want someone with a passion for and experience in the sciences that will lead you to look deeply into the sources of the data along with the scientists so that the data analysis is influenced by the science of our diagnostic technology and the science is influenced by the analysis.
_You_*
You have a proven track record of successfully developing, validating and deploying data analysis and analytical methods to solve challenging real-world applications. You are deeply familiar with a broad range of analytical models and are at the pulse of developments in the field. Ideally you have proven expertise in the analysis of spatio-temporal data. You have a strong domain knowledge in the field of statistical analysis and signal processing. You should have a track record of success in your education and projects and have these characteristics and skills:
MS degree in computer sciences, biomedical engineering, or related field and at least 5 years of interesting relevant experience.
Expert in R and proficient with C++ and Python.
Expertise in analytical methods and statistical analysis.
Proficiency in SQL as well as NoSQL database technologies a plus.
Full fluency (verbal and written) of the English language is a must.
Job Type: Full-time

Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
Monday to Friday
On call
Experience:
relavent: 2 years (Required)
Work authorization:
United States (Required)
Work Remotely:
No",1.0,"Specific Diagnostics
1.0","Mountain View, CA",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,1,0,17,23,20.0,"Specific Diagnostics
",Mountain View,0,-1,1,0,0,0,0
Certified Lab Scientist or Certified Lab Tech,$17-$23 Per Hour(Glassdoor est.),"Prairie Ridge Health is looking for a team member to join or Lab Department in the role of Certified Lab Scientist or Certified Lab Tech. This position is PRN (as needed) and will be responsible for performing general laboratory testing in the areas of Hematology, Chemistry, Urinalysis, Transfusion Services, Coagulation, Microbiology, Serology, and Specimen processing with a high degree of accuracy and reliability...….

POSITION SUMMARY
Lab Scientist

The Medical Technologist performs general laboratory testing in the areas of Hematology, Chemistry, Urinalysis, Transfusion Services, Coagulation, Microbiology, Serology, and Specimen processing with a high degree of accuracy and reliability. The data obtained is used in the diagnosis and treatment of disease involving patient of all ages. The Medical Technologist develops and maintains test procedures and protocols, and troubleshoots both technology and sample related problems. (S)he exercises independent judgment and responsibility with minimal supervision. May supervise others in the absence of the Laboratory Supervisor. Makes decisions about the accuracy of test results, instrument operation, specimen suitability, and uses sound clinical judgment in setting the priority of tests/patients

OR

Lab Tech

The Clinical Laboratory Technician I performs general laboratory testing in the areas of Hematology, Chemistry, Urinalysis, Transfusion Services, Coagulation, Microbiology, Serology, and Specimen processing with a high degree of accuracy and reliability. The data obtained is used in the diagnosis and treatment of disease involving patient of all ages. The Clinical Laboratory Technician II develops and maintains test procedures and protocols, and troubleshoots both technology and sample related problems. (S)he exercises independent judgment and responsibility with minimal supervision. Makes decisions about the accuracy of test results, instrument operation, specimen suitability, and uses sound clinical judgment in setting the priority of tests/patients.

EDUCATION REQUIREMENTS/LICENSURE/CERTIFICATION/REGISTRATION

Lab Scientist

Bachelors’ degree in Medical Technology and graduate of an accredited Medical Technology Program.
Registered or eligible as a Medical Technologist (MT) or Clinical Laboratory Scientist (CLS) with a national accrediting agency (ASCP) or qualified as a MT/CLS having passed the Federal Equivalence Exam (HEW)
Meets the CLIA 88 requirements for individuals performing highly complex testing
CPR certification

OR

Lab Tech

Associate degree and completion of a 2 year CLT / Medical Laboratory Technician (MLT) training program.
Registered or eligible as a Clinical Laboratory Technician or Medical Laboratory Technician (MLT) with a national accrediting agency (ASCP).
Meets the CLIA 88 requirements for individuals performing highly complex testing.
A minimum of 1 year experience in a clinical laboratory performing highly complex testing is desired or a recent new graduate of an accredited school.
CPR certification

FTE: PRN (as needed)

Shift: As Needed

Powered by JazzHR

Ly3sHi576B",-1.0,Prairie Ridge Health,"Columbus, WI",-1,201 to 500 Employees,-1,Hospital,-1,-1,Less than $1 million (USD),-1,1,0,17,23,20.0,Prairie Ridge Health,Columbus,0,-1,0,0,0,0,0
